TOT_POP,% Black-alone,% NA/AI-alone,% Asian-alone,% Hawaiian/PI-alone,% Two or more races,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_number,Urban_rural_code,age 0-19 pct %,age 20-39 pct %,age 40-59 pct %,age 60-79 pct %,age 80+ pct %
132328,1.329272716,0.32646152,0.921951514,0.031739314,1.470588235,7.4,31.9,34.3,26.4,9.6,61508,65386,4.9,94.5,284.4,240.5,99.6,87.2,7.0,5.8,51.54538422,25.8817444,1.942169424,100.2346369,62.87643685,222.0927859,8,134695,31973,23.7,102333,45.5,46521,32.8,33565,7373,8.1,8252,10.0,10271,3014,3,24.63499789,23.87929992,25.94386676,20.458255245,5.083580195
31756,1.165134148,0.355838267,0.695931478,0.028341101,1.398160977,19.6,38.4,26.8,15.2,23.4,37987,12973,4.2,72.5,253.1,225.8,85.1,77.8,8.1,7.4,26.96207066,5.591299274,0.539429041,16.82549538,11.66104865,47.3900139,5,31566,8189,25.9,25696,52.2,13404,36.5,9379,2632,12.7,3266,15.0,3858,950,6,21.608514924,24.55284041,26.549313509999998,23.120040308,4.169290843
43734,1.797228701,0.455023552,0.592216582,0.022865505,1.634883615,17.5,44.8,25.2,12.5,17.7,43651,18309,4.0,83.4,253.1,225.8,85.1,77.8,8.1,7.4,37.13185534,7.700273412,0.742895505,23.17187981,16.05946284,65.26498513,6,42591,9973,23.4,32802,54.1,17760,39.0,12793,3330,12.4,4062,14.5,4742,1179,5,27.09105044,23.32052865,25.57735401,19.899849091,4.111217817
11117,0.413780696,1.493208599,0.494737789,0.017990465,1.700098948,8.0,43.8,29.4,18.8,14.2,40959,5147,5.6,72.3,287.0,249.7,97.8,87.6,7.9,6.7,4.915722072,4.207279774,0.160150221,8.246624246,6.698505439,22.58006906,3,11291,4274,37.9,9271,53.1,4919,36.7,3402,1120,12.5,1163,15.1,1401,394,6,18.260322029,16.497256454000002,24.485022940999997,32.22092291,8.536475668
17335,24.23420825,1.147966542,0.63455437,0.207672339,1.995961927,23.0,37.9,26.2,12.9,21.7,37428,6668,3.9,61.7,224.8,199.9,72.9,66.5,6.2,5.4,5.979284607,3.528985854,0.315875338,6.559094023,5.805341782,20.47331208,0,17289,4004,23.2,13722,52.4,7192,39.9,5475,1321,9.9,1355,16.1,2209,547,3,22.89010673,27.47620421,25.105278339999998,19.867320454,4.66109028
242634,30.53158255,0.481795626,3.527947443,0.13724375,3.628510431,7.8,25.0,34.7,32.5,8.5,78846,121125,3.0,108.6,263.2,231.8,90.3,81.7,7.3,6.3,127.5599006,59.87738077,2.734647266,121.0081415,106.2239547,334.7664028,28,235410,41793,17.8,184191,42.9,79090,33.1,60967,10944,6.3,11671,10.5,19382,5070,2,26.434877229999998,27.70510316,26.5239002,16.465952836,2.870166588
40599,5.94103303,0.729081997,0.559127072,0.041872953,1.386733663,9.4,40.4,36.1,14.0,16.2,48988,17766,4.7,86.5,287.0,249.7,97.8,87.6,7.9,6.7,17.95209143,15.36487825,0.584864517,30.11646107,24.46277074,82.46183536,0,41319,9162,22.2,32645,51.4,16787,42.3,13809,2839,10.0,3272,11.9,3870,1067,5,23.020271440000002,27.335648659999997,25.98093549,18.867459793000002,4.795684623
39316,2.599450605,3.441347034,3.115779835,0.226370943,2.103469325,6.8,30.5,33.3,29.3,11.0,60082,20891,2.8,105.3,240.4,219.1,92.8,84.8,9.2,8.6,21.0788146,18.00389239,2.540153134,15.10722653,24.10917273,42.69239828,10,38637,8651,22.4,29900,45.1,13484,37.5,11212,2157,5.7,1699,10.3,3076,875,5,26.69651032,26.828772,23.026248860000003,18.249567609,5.198901211
15153,2.421962648,0.389361843,0.455355375,0.065993533,1.854418267,12.4,44.4,27.5,15.7,13.9,45440,7661,2.9,83.5,273.1,236.3,86.6,79.0,7.0,6.3,8.451515004,1.644792941,0.301751487,9.426023904,6.767148098,26.87319594,0,15319,4479,29.2,11683,51.4,5999,36.4,4253,1141,11.0,1285,13.6,1590,420,6,24.899359859999997,20.80776084,24.51659738,23.685078859999997,6.091203062
277,0.0,1.444043321,0.0,0.36101083,2.527075812,14.5,37.7,29.6,18.2,13.7,57925,214,2.8,95.5,224.8,199.9,72.9,66.5,6.2,5.4,0.095544381,0.056390486,0.005047446,0.10480929,0.092764908,0.327147819,0,289,32,11.1,207,45.1,93,33.0,68,17,8.0,16,12.0,25,7,6,26.71480144,23.46570397,23.465703968,19.855595666,6.498194946
31529,2.864029941,1.785657649,1.151321006,0.028545149,2.178946367,8.1,32.3,35.5,24.1,12.0,60180,16786,3.7,85.6,302.7,265.0,104.9,96.0,7.4,6.6,16.18260975,10.18155864,0.713608138,18.06496193,19.70007979,52.72271781,5,31564,7554,23.9,23900,43.3,10360,33.3,7959,1694,6.1,1465,10.3,2466,722,4,26.87050018,24.44416252,23.60683815,19.816676707,5.261822449
68461,29.59056981,0.70112911,0.502475862,0.040899198,0.968434583,16.7,30.5,32.2,20.5,19.9,42435,25613,4.8,94.8,191.3,174.8,65.9,61.2,7.1,6.7,47.81791778,2.452788688,2.269402618,27.02652208,25.14681487,77.50353789,14,68328,14853,21.7,51285,53.6,27496,41.3,21181,4638,9.8,5029,14.8,7585,1857,5,28.287638219999998,24.551204339999998,23.6996246,19.393523319,4.068009524
123707,20.89695813,1.012877202,1.405740985,0.10508702,2.082339722,16.2,28.7,34.4,20.8,15.1,50610,57815,4.1,83.5,224.8,199.9,72.9,66.5,6.2,5.4,42.66970642,25.18374693,2.254167319,46.80737493,41.42840587,146.1027988,66,123402,24309,19.7,91756,49.1,45063,39.1,35877,7521,8.4,7748,13.7,12577,3179,4,28.47211556,26.86185907,23.30910942,17.301365327,4.055550616
3977,0.528036208,0.452602464,0.176012069,0.0,0.955494091,11.4,25.2,42.6,20.8,9.5,54866,2268,2.2,91.9,239.2,214.5,88.2,80.3,6.8,6.2,2.154166762,1.694473759,0.191710535,1.842894818,2.597368536,5.658552881,0,3803,1112,29.2,2959,46.9,1388,37.3,1104,232,7.3,215,10.9,322,96,6,27.6338949,20.165954235,23.9879306,21.44832788,6.763892381
379099,27.47936555,0.858614768,2.576371871,0.125033303,2.283572365,11.2,25.6,29.3,33.8,16.4,50112,186122,3.8,92.9,255.0,223.5,86.2,78.1,7.1,6.2,172.2145054,154.8725741,4.089044861,184.5546587,146.9135404,546.8732408,259,368362,76042,20.6,292142,43.2,126338,31.2,91148,21568,7.7,22548,12.6,36949,9440,3,26.028293400000003,25.92937464,25.8652753,18.306827504,3.870229149
20046,24.91270079,0.713359274,0.254414846,0.099770528,1.421730021,17.7,39.9,29.2,13.2,19.6,41127,7683,5.5,87.3,207.6,188.2,79.9,75.0,7.0,6.5,8.680009622,1.390131809,0.585318657,5.979562184,11.207522,24.19095402,6,20771,5094,24.5,15464,54.9,8485,37.9,5861,1665,11.4,1755,16.4,2529,631,6,25.01247132,22.059263700000002,26.080015969999998,22.328644123,4.519604909
12457,0.43349121,0.93120334,0.46560167,0.040138075,1.846351449,20.4,36.3,30.5,12.8,20.3,34009,4801,4.5,72.2,207.6,188.2,79.9,75.0,7.0,6.5,5.393937936,0.863856727,0.363729148,3.715823911,6.96458653,15.03276036,0,12443,4150,33.4,10061,57.1,5747,40.4,4065,1342,13.5,1362,16.5,1661,449,6,21.040378905,18.632094405,24.46014289,29.260656660000002,6.606727141
27109,0.962779889,0.424213361,0.560699399,0.055332178,1.132465233,15.8,32.3,32.9,19.0,16.9,41864,12750,3.6,77.6,255.0,223.5,86.2,78.1,7.1,6.2,12.31489143,11.07478683,0.292403613,13.19732377,10.50564408,39.10637244,0,26833,8552,31.9,22326,45.6,10171,32.7,7301,2272,10.7,2382,13.6,3040,845,6,19.46586005,19.753587367999998,26.79921797,28.116123799999997,5.865210816
24415,1.089494163,0.290804833,0.46692607,0.012287528,1.163219332,16.4,48.0,18.8,16.8,19.0,41213,9373,5.7,93.6,263.4,231.6,100.1,89.4,10.5,9.2,12.73591896,9.03141599,0.757124694,13.19560181,16.77842402,37.89679494,4,24604,6359,25.8,19395,51.9,10065,35.1,6808,2146,13.7,2656,15.2,2950,704,6,23.899242270000002,24.32111406,24.427605980000003,22.838419008000002,4.513618677
53140,2.683477606,0.455400828,0.647346632,0.060218291,1.857357922,11.8,37.1,31.6,19.5,14.8,54440,23153,4.1,104.0,253.1,225.8,85.1,77.8,8.1,7.4,45.11791268,9.356393861,0.902672226,28.15552414,19.51341874,79.30171743,6,52926,15778,29.8,43159,50.2,21647,34.7,14976,4305,11.5,4943,14.2,6126,1556,3,20.764019569,20.679337599999997,27.49529545,25.76213775,5.299209635
23884,0.598727181,0.967174678,0.690839055,0.02512142,1.423547145,10.1,40.7,34.3,14.9,17.1,38613,7814,7.8,68.2,287.0,249.7,97.8,87.6,7.9,6.7,10.56104219,9.039009635,0.344070153,17.71722349,14.39121201,48.51150215,0,23934,9877,41.3,20370,57.9,11785,41.2,8392,2598,13.2,2683,15.8,3216,901,6,16.232624351,15.696700719999999,24.229609781999997,36.94942221,6.891642941
89147,1.657935769,0.333157594,2.679843405,0.032530539,1.45377859,3.6,20.0,28.0,48.4,4.2,83014,49109,2.5,136.6,264.9,238.3,94.6,86.4,7.9,7.1,46.63160851,28.21511333,2.039461996,46.80028581,50.23516918,141.0295638,46,87817,21950,25.0,70152,34.6,24296,27.3,19151,4301,5.2,3663,8.4,5861,1889,2,24.11859064,21.6215913,26.92743446,22.246402007,5.085981581
36277,4.653085977,0.512721559,1.243211952,0.05513135,2.128070127,9.2,34.1,37.1,19.6,13.7,52093,19109,3.3,86.7,218.2,193.1,84.8,77.9,6.9,6.5,22.09163204,9.804454802,1.356302071,14.68944107,24.83871844,46.97632682,8,36945,8966,24.3,28393,43.2,12256,35.1,9966,2254,7.7,2191,10.9,3086,914,5,25.382473740000002,25.72980125,23.439093640000003,20.307632939999998,5.140998429
6968,4.133180253,0.789322618,0.301377727,0.057405281,1.478185993,18.1,38.8,31.5,11.6,13.9,57299,4057,3.5,119.3,260.3,231.8,84.1,75.8,9.1,7.8,3.534856173,1.146884384,0.236255193,3.748682075,2.679552564,11.20417822,0,6806,1649,24.2,5427,48.0,2607,36.0,1954,472,10.4,562,12.5,680,177,4,24.21067739,25.143513210000002,27.281859940000004,19.747416763,3.616532721
97605,37.75421341,0.350391886,1.147482199,0.043030582,1.700732544,11.7,34.5,27.9,25.9,17.8,46651,48664,3.8,89.1,253.1,225.8,85.1,77.8,8.1,7.4,82.87041526,17.18537491,1.657984996,51.7147146,35.84131043,145.6575862,76,97887,21289,21.7,75733,52.6,39835,39.1,29612,6579,9.5,7220,15.0,11365,2672,4,25.97715281,25.417755239999998,24.97310588,19.682393323,3.949592746
7649,0.705974637,17.13949536,0.98052033,0.32684011,5.137926526,13.9,34.5,33.4,18.2,17.8,40468,2488,11.7,54.7,278.8,246.3,100.6,91.7,6.9,6.1,3.082706187,1.936714984,0.09338458,3.804406582,4.483474886,11.28430842,0,7568,2554,33.7,6316,44.4,2805,32.6,2059,691,10.6,670,15.2,962,274,6,20.081056345,18.250751731999998,25.19283567,31.899594720000003,4.575761537
33830,5.835057641,1.749926101,0.691693763,0.127106119,1.371563701,23.8,33.9,25.8,16.5,18.4,42782,12540,4.8,70.6,224.8,199.9,72.9,66.5,6.2,5.4,11.66883174,6.886968068,0.616444344,12.80035482,11.32937482,39.95455135,5,34527,6124,17.7,24670,50.6,12481,38.9,9597,1918,7.3,1792,14.2,3492,838,5,30.384274310000002,28.47177062,22.438663910000002,15.169967485,3.535323677
29442,0.580802935,1.294069696,0.703077237,0.054344134,1.229536037,10.2,38.8,31.6,19.4,8.0,56978,16424,2.9,93.7,264.9,238.3,94.6,86.4,7.9,7.1,15.40071811,9.318422009,0.673559852,15.45642607,16.59084266,46.57691696,0,29510,6978,23.6,22094,47.6,10519,37.9,8374,1655,7.3,1603,10.1,2224,674,6,26.98865566,21.859928,26.16330412,20.480945593,4.507166633
27271,19.00920392,1.067067581,1.587767225,0.058670382,1.749110777,20.7,34.9,29.7,14.7,16.7,47757,11588,4.0,88.6,255.0,223.5,86.2,78.1,7.1,6.2,12.38848369,11.14096837,0.29415098,13.27618933,10.5684245,39.34006724,0,27445,7131,26.0,21264,50.9,10829,37.1,7889,2117,10.7,2277,15.6,3325,842,6,24.30053903,21.895053349999998,25.89564005,23.435150896,4.473616662
161355,3.417309659,0.296241207,5.774844287,0.074370178,2.401536984,5.6,23.6,24.3,46.5,11.1,74456,91522,3.0,93.3,449.5,353.7,134.3,114.6,9.6,7.3,146.4366707,50.63566869,1.753312628,214.9093732,46.07705586,484.4285903,11,161197,34945,21.7,137666,32.0,44103,23.9,32902,8030,5.6,7733,7.9,10817,3435,3,22.708933719,30.82210034,22.678565892,19.779368472,4.011031576
13586,25.4673929,0.360665391,0.1619314,0.007360518,0.905343736,22.9,35.6,32.9,8.6,22.6,42022,4289,6.2,93.9,191.3,174.8,65.9,61.2,7.1,6.7,9.4894061,0.486752854,0.450360117,5.363379574,4.990354023,15.38048036,0,13801,2497,18.1,10933,53.6,5864,40.6,4439,837,8.8,961,12.5,1370,331,6,21.485352568000003,30.752244949999998,27.160312089999998,17.400264981,3.201825409
468011,22.17212843,1.087153934,9.285892853,0.205337054,4.623395604,11.5,20.7,27.7,40.1,6.4,106200,241651,2.7,146.3,263.2,231.8,90.3,81.7,7.3,6.3,246.0472837,115.4960675,5.274796614,233.4097502,204.892881,645.7230189,24,450763,60739,13.5,340801,40.8,139129,35.0,119280,17026,5.1,17384,10.0,34195,8191,2,29.61362019,27.5935822,28.00810237,12.958456105,1.826239127
20705,30.21492393,0.45882637,0.540932142,0.178700797,1.439265878,16.8,42.3,27.3,13.7,26.5,35636,7176,5.2,60.8,228.7,202.9,79.1,71.9,7.0,6.1,9.477143584,6.548381454,0.285396847,9.797969005,6.7137148,25.17003368,6,21063,4726,22.4,16693,53.4,8907,39.7,6627,1553,10.7,1781,16.4,2732,658,6,21.87877324,25.346534650000002,27.9980681,20.425018115,4.351605892
5723,7.006814608,11.77704001,41.21964005,2.358902673,4.263498165,11.2,40.5,31.9,16.4,10.0,82633,3615,3.5,110.3,276.9,256.7,112.8,105.6,9.6,8.5,3.725113162,2.685185738,0.162973701,1.691822228,4.594306233,6.565511948,0,5784,707,12.2,5085,39.3,1996,30.4,1546,268,5.0,254,11.2,571,119,6,12.930281320999999,34.28271886,38.651057140000006,13.524375325000001,0.61156736
22068,0.643465652,0.412361791,0.344390067,0.009062897,1.19177089,20.4,45.2,21.2,13.1,15.0,42149,9818,3.8,80.5,253.1,225.8,85.1,77.8,8.1,7.4,18.73658444,3.885526905,0.374862076,11.69243709,8.103540172,32.93244825,6,21995,5857,26.6,17405,51.9,9034,36.7,6388,1860,13.0,2266,14.9,2594,655,5,23.11491753,22.58926953,26.57694399,23.300706905,4.418162045
2844,0.984528833,0.562587904,0.843881857,0.0,1.722925457,8.3,29.4,44.7,17.6,9.1,50267,1670,2.2,86.4,227.6,206.5,88.0,80.5,6.8,6.3,1.603929239,0.812709578,0.135777201,1.177061348,1.747520956,3.724593295,0,2790,840,30.1,2159,46.1,996,35.2,760,174,8.1,174,12.3,265,70,6,25.984528830000002,22.81997188,22.749648386,21.378340361,7.067510549
9608,30.70358035,0.489175687,0.06244796,0.020815987,1.113655287,23.9,42.5,21.9,11.7,26.0,35812,3381,6.8,74.6,260.3,231.8,84.1,75.8,9.1,7.8,4.874124298,1.581410041,0.325766345,5.168963459,3.694767658,15.44915963,0,10044,2388,23.8,7555,55.4,4184,42.1,3181,727,11.4,862,15.4,1167,289,6,23.45961699,27.57077435,24.28184846,20.815986677,3.871773522
39135,4.149738086,0.314296665,1.852561646,0.053660406,1.76823815,10.9,32.4,27.6,29.0,21.3,41873,18864,3.9,83.4,230.9,214.6,77.3,72.9,8.3,7.6,25.6964548,8.635550248,0.919607278,17.29737499,16.64051265,56.54271035,10,38616,8253,21.4,32046,48.0,15397,34.9,11184,2789,10.4,3322,12.4,3977,990,5,23.43171075,31.78484732,21.89600102,18.776031686,4.111409224
11012,11.47838721,0.599346168,0.444969125,0.009081003,1.807119506,19.8,34.8,28.5,16.8,18.6,49280,4888,3.3,94.1,253.1,225.8,85.1,77.8,8.1,7.4,9.349613368,1.938889898,0.187057331,5.834562135,4.043691516,16.43339316,0,8773,1811,20.6,9073,48.4,4394,36.2,3284,667,9.6,872,11.8,1069,259,2,21.730839083,36.7689793,23.18379949,15.791863421999999,2.524518707
10447,0.7370537,38.36508088,0.239303149,0.009572126,3.235378578,11.5,35.6,35.7,17.2,21.3,44709,4856,4.3,78.4,240.4,219.1,92.8,84.8,9.2,8.6,5.601037139,4.783972524,0.674966421,4.014273975,6.406260237,11.34417247,0,10250,2568,25.1,7458,46.4,3462,35.9,2677,758,8.4,627,14.2,1059,298,6,31.004116019999998,21.077821385,22.149899494000003,20.493921698999998,5.274241409
13765,0.777333818,3.46531057,1.198692336,0.130766437,2.455503088,8.0,21.5,31.7,38.9,11.2,53337,6928,3.4,74.1,285.7,262.5,95.4,88.9,7.8,7.1,6.996616138,5.430534184,0.215094589,6.049233228,6.580927718,17.61600519,0,12592,4283,34.0,11280,34.1,3850,23.8,2685,861,6.9,782,10.3,1162,383,6,19.731202324999998,18.968398111,25.622956770000002,31.75444969,3.922993098
102665,2.47016997,0.236692154,0.346758876,0.039935713,1.588662154,12.2,45.1,27.9,14.8,15.1,44938,47087,5.2,80.0,292.7,248.6,93.7,83.7,8.3,7.1,53.03879646,19.63814355,1.703846086,69.43611936,47.4793399,200.0877399,20,104584,27542,26.3,81792,50.7,41493,38.2,31245,7875,11.1,9070,14.1,11540,2805,5,22.32795987,22.55393756,26.723810450000002,23.37213266,5.022159451
10717,1.297004759,0.289260054,0.391900719,0.046654847,1.231687972,16.9,48.6,24.6,9.9,17.7,47713,5096,3.9,85.6,230.8,212.0,80.3,74.4,6.5,6.1,5.52995751,1.353262119,0.211397159,4.213529745,5.321763338,13.94260356,0,10617,2474,23.3,8072,52.3,4220,40.4,3261,771,12.2,986,14.9,1205,286,6,26.90118503,22.254362229999998,26.910516,20.014929553,3.919007185
16489,0.642852811,18.00594336,0.36387895,0.0,3.10510037,8.3,34.5,34.0,23.2,14.5,46490,8004,4.3,76.5,264.9,238.3,94.6,86.4,7.9,7.1,8.625176312,5.218784746,0.377227376,8.656375568,9.291705885,26.08541484,0,16384,5431,33.1,13274,47.0,6243,36.0,4779,1368,9.3,1239,13.6,1810,540,6,21.2808539,17.921038268,25.016677786,30.43847413,5.34295591
350611,2.569799578,0.139185593,0.975154801,0.026525123,1.531897174,6.0,37.5,28.0,28.5,9.2,58398,180515,4.4,95.9,320.5,273.3,100.8,88.2,8.7,7.2,191.7168213,155.1967242,5.447900533,284.0573665,197.2194746,732.7836863,51,356835,103773,29.1,286494,41.8,119878,31.0,88813,22204,8.1,23209,11.3,32314,9023,2,20.394682426000003,21.51358628,27.19338526,24.895682110000003,6.002663921
17209,26.28275902,0.493927596,0.371898425,0.023243652,1.470160962,19.8,33.5,28.7,18.0,17.9,46027,6766,4.4,92.3,217.1,196.7,77.2,71.2,7.6,6.9,8.932157375,1.883604334,0.355596332,8.044926922,6.576771768,22.32863306,0,17110,4834,28.3,13662,52.3,7147,36.0,4918,1380,11.0,1501,16.6,2272,547,4,22.61026207,21.65146144,25.59126038,24.99854727,5.148468824
13714,0.415633659,0.393758203,0.218754557,0.080210004,0.809391862,10.1,43.9,27.1,18.9,9.2,58855,6996,2.4,108.2,273.1,236.3,86.6,79.0,7.0,6.3,7.648919472,1.488595683,0.273095749,8.530884434,6.124507953,24.32119112,0,13610,3017,22.2,10543,43.2,4550,31.4,3311,801,8.8,924,10.8,1142,304,4,25.95158233,22.93276944,26.97972874,19.556657432999998,4.579262068
1432132,43.62726341,2.913558247,4.500074016,0.414766237,3.673683711,28.0,27.6,24.5,19.8,27.3,38566,605864,5.7,57.0,375.1,304.1,112.9,94.8,10.2,7.4,924.1850116,651.7149559,12.16515042,1518.445281,474.8805706,3584.175763,270,1455846,243010,16.7,1077440,43.7,470890,31.5,339394,78363,7.5,80509,16.2,174126,43628,1,27.43322542,30.01245695,24.57182717,14.5994224,3.383068041
4195,0.190703218,0.572109654,0.643623361,0.0,1.26340882,7.6,38.6,34.7,19.1,11.0,46954,2388,2.6,78.6,239.2,214.5,88.2,80.3,6.8,6.2,2.272247816,1.787356655,0.202219184,1.943913443,2.739743778,5.968727517,0,4318,1511,35.0,3357,46.8,1571,37.4,1256,321,8.7,292,12.5,420,125,6,21.93087008,19.618593564999998,22.74135876,27.294398100000002,8.414779499
66726,21.12070257,1.209423613,0.797290412,0.118394629,1.705482121,15.1,34.3,31.5,19.1,14.7,50131,30028,4.4,82.7,224.8,199.9,72.9,66.5,6.2,5.4,23.01550301,13.58379637,1.215869502,25.24730936,22.3459611,78.80601223,0,66606,14535,21.8,49861,50.9,25401,35.9,17900,4276,8.7,4356,14.2,7099,1766,5,27.84971376,24.20196026,24.45973084,19.632527052,3.856068099
