TOT_POP,% Black-alone,% NA/AI-alone,% Asian-alone,% Hawaiian/PI-alone,% Two or more races,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_number,Urban_rural_code,age 0-19 pct %,age 20-39 pct %,age 40-59 pct %,age 60-79 pct %,age 80+ pct %
4651,0.774027091,1.978069232,1.87056547,0.043001505,2.30058052,10.5,42.5,32.9,14.1,15.0,43371,2267,4.3,78.5,247.1,236.2,91.5,88.0,9.8,9.4,2.206620509,1.711882181,0.245180057,1.506106062,2.570012379,5.043704021,0,4766,1594,33.4,3787,45.9,1736,35.1,1329,407,10.3,389,14.5,550,156,6,20.619221676000002,17.437110299,25.47839175,31.09008815,5.375188132
487204,7.072396778,0.386285827,5.077544519,0.075122536,2.40248438,8.5,24.8,30.6,36.1,9.9,68479,264356,2.5,114.0,218.2,193.1,84.8,77.9,6.9,6.5,296.6929872,131.6748793,18.21528225,197.2807688,333.5866521,630.8971064,112,467235,81860,17.5,365889,40.7,148872,35.1,128427,21031,5.6,20330,9.1,33176,9120,3,27.27235409,29.21035131,24.944786989999997,15.473395124,3.099112487
14940,22.65060241,0.528781794,0.742971888,0.040160643,1.753681392,23.1,37.9,30.7,8.3,20.6,45906,4670,3.4,82.8,265.2,240.7,86.8,80.1,6.9,6.0,8.669683194,4.273817128,0.152210457,8.133088725,5.807846023,20.41373706,0,15300,3196,20.9,12038,51.5,6201,37.2,4478,1183,11.4,1373,14.6,1752,437,6,21.72690763,28.59437751,28.20615796,18.253012044,3.219544846
2283,1.97109067,0.876040298,2.409110819,0.043802015,1.708278581,5.8,36.7,39.0,18.4,10.0,58715,1536,1.3,90.0,237.6,217.1,87.0,79.6,10.5,9.7,1.372664875,0.681826973,0.117142079,1.054278711,1.763138471,2.712289676,0,2378,830,34.9,1772,47.6,844,35.0,620,174,8.1,143,13.0,231,64,6,23.74069208,19.010074465000002,23.95970215,25.22996057,8.05957074
167207,0.760733701,0.559785177,29.12617295,10.7381868,23.91108028,8.0,31.8,33.6,26.6,8.6,78503,86137,2.4,97.5,314.1,273.7,118.5,104.7,9.4,8.4,48.49681131,18.48058101,2.589635556,88.87158384,57.67824647,212.3501156,20,164094,37939,23.1,130860,34.2,44759,22.8,29836,8376,5.4,7107,10.4,13553,3947,4,23.65570819,24.57193778,26.47377203,21.264061916,4.034520086
916,0.327510917,0.545851528,0.436681223,0.109170306,0.873362445,11.8,26.6,43.5,18.1,16.2,47047,595,2.2,78.8,239.2,214.5,88.2,80.3,6.8,6.2,0.496157092,0.390278593,0.044155607,0.424463579,0.598237259,1.3033026,0,957,294,30.7,710,49.9,354,38.4,273,78,9.6,68,14.1,100,29,6,23.471615723,20.196506553,19.432314415,27.074235809999998,9.825327511
236961,3.674866328,1.557218276,2.681875921,2.587767607,2.86249636,15.0,26.3,25.8,32.8,15.2,50893,122569,2.6,108.1,207.6,188.2,79.9,75.0,7.0,6.5,102.6051961,16.4325563,6.918971075,70.6835795,132.4825712,285.9579295,61,223683,34691,15.5,179233,42.9,76903,32.3,57892,12343,7.1,12667,10.1,18103,4704,3,28.40973831,32.78471985,22.351357399999998,13.804381311,2.649803132
16750,0.471641791,0.394029851,0.131343284,0.023880597,1.158208955,22.4,43.6,23.4,10.6,22.8,37732,6693,4.9,75.2,230.9,214.6,77.3,72.9,8.3,7.6,10.99822711,3.696064052,0.393597085,7.403373734,7.122232959,24.20059789,0,16815,4047,24.1,13150,54.0,7097,39.4,5181,1478,14.5,1912,16.0,2101,496,5,23.635820889999998,22.45970149,28.704477609999998,21.474626861,3.725373134
92176,0.925403576,0.46432911,0.438291963,0.22782503,1.437467454,14.1,45.7,24.3,15.8,12.3,51030,44390,4.6,90.9,292.7,248.6,93.7,83.7,8.3,7.1,47.61996886,17.63176857,1.529768829,62.34202248,42.62850665,179.6453271,38,92531,23202,25.1,71116,44.5,31621,35.3,25104,6260,10.3,7303,13.0,9214,2336,5,24.98698143,23.131834750000003,25.150798469999998,21.468712028,5.261673321
154141,14.91686183,0.655244224,2.142194484,0.088879662,2.617084358,10.4,28.9,33.0,27.7,15.3,51509,73328,4.3,90.9,287.0,249.7,97.8,87.6,7.9,6.7,68.15816461,58.3353703,2.22053749,114.3422603,92.87706458,313.0803656,20,154948,39067,25.2,120570,46.1,55594,35.9,43285,10550,9.6,11623,12.3,14885,4263,4,24.15904918,23.35394217,25.51884314,22.007123352,4.961042163
